RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
83,Bubble and Squeak,1544,tranch,PT2H27M,PT30M,PT2H57M,1999-08-28T02:59:00Z,Make and share this Bubble and Squeak recipe from Food.com.,character(0),Breakfast,"c(""European"", ""Weeknight"", ""Broil/Grill"", ""Oven"", ""Stove Top"", ""< 4 Hours"")","c(""2"", ""2"", ""1/4"", ""4"", ""1/3"", ""1/2"", ""1"", ""1/2"", ""1"", ""1/2"")","c(""baking potatoes"", ""unsalted butter"", ""heavy cream"", ""bacon"", ""onion"", ""celery"", ""sage"", ""white pepper"", ""Brussels sprout"")",3.0,3.0,480.7,24.9,11.5,54.9,286.1,56.9,7.6,4.9,11.1,4.0,,"c(""Wash potatoes under cold running water then place in a large saucepan."", ""Cover with salted water, bring to a boil, reduce heat and simmer until soft, uncovered, about 15 minutes."", ""Drain and set aside and allow to cool slightly."", ""Peel potatoes and mash."", ""Add butter and cream and mix well."", ""Meanwhile fry bacon until crisp."", ""Drain on paper towel and set aside. In the same skillet add onion to bacon drippings and saute until soft, about 3 - 5 minutes."", ""Stir in celery, sage and pepper and saute 2 minutes longer."", 
""Add lemon juice. Combine vegetables with mashed potatoes, stir well to combine and refrigerate for 2 hours."", ""Shape potato mixture into 10 patties."", ""Melt 2 tablespoons butter in a large skillet and saute patties until brown and crispy, about 5 minutes per side. Crumble bacon over top and serve.                    - - - - - - - - - - - - - - - - - -"")"
88,Breakfast Burritos,1575,lindaWWJD,,PT35M,PT35M,1999-08-13T13:36:00Z,Make and share this Breakfast Burritos recipe from Food.com.,character(0),Breakfast,"c(""Mexican"", ""< 60 Mins"", ""Easy"")","c(""8"", ""1"", ""2"", ""10"")","c(""eggs"", ""country sausage"", ""flour tortillas"")",3.5,3.0,1974.0,112.2,41.1,656.1,4146.0,150.2,8.8,9.3,84.7,4.0,,"c(""Scramble eggs with a small amount of milk."", ""In another pan, crumble sausage and brown."", ""Combine with cheese; cook over low flame until cheese melts."", ""Mix in just enough ketchup until mixture holds together."", ""Warm tortillas in microwave on medium for about 30 seconds until soft enough to roll up without cracking."", ""Place about 1/4 cup egg mixture in tortilla and roll up."", ""Serve with salsa."")"
133,Blueberry Pancake Syrup,1571,Linda Johansen,PT36M,PT50M,PT1H26M,1999-08-06T00:41:00Z,"I've made this blueberry syrup several times, but I bet it would work well for raspberries.  It's worth a try!",character(0),Sauces,"c(""Breakfast"", ""Dessert"", ""Berries"", ""Fruit"", ""Vegan"", ""Free Of..."", ""Sweet"", ""Weeknight"", ""< 4 Hours"", ""Easy"")","c(""4"", ""3"", ""2"", ""3"", NA)","c(""blueberries"", ""water"", ""lemons, rind of"", ""sugar"", ""lemon juice"")",5.0,4.0,1329.7,1.0,0.1,0.0,16.6,342.8,7.1,328.9,2.2,,2 pints,"c(""Pour the blueberries into a saucepan and crush them with a potato masher or a wooden spoon until most of the skins are broken."", ""Add 1 cup of water  and strips of lemon peel and bring to a simmer."", ""Turn heat down to low and cook the berries for 5 minutes at just under a simmer."", ""Pour the hot berries into a strainer lined with two layers of cheesecloth and let the blueberry juice drip through."", ""Twist the cloth to extract all the juice; there should be about 2 cups."", ""Discard the berry pulp."", 
""Combine the remaining  2 cups water with the sugar in a small saucepan."", ""Bring the mixture to a boil, stirring, until the sugar is dissolved and the mixture is clear."", ""Wash down the sides of the pan with a wet pastry brush, then boil the syrup, without stirring, until it reaches 260 degrees on a candy thermometer."", ""Add the blueberry syrup to the sugar syrup and bring the mixture to boil."", ""Boil for 1 minute.  Let the syrup cool, then add lemon juice to taste. Pour the syrup into two pint jars and refrigerate if you plan to use it in a month or two."", 
""To can (for indefinite storage) Pour into canning jars with 1/2 inch headspace.  Process in hot water bath for 30 minutes."", ""Cool."")"
280,Spanish Potato Omelet (Tortilla a la Espanola),1589,kenk1492,,PT40M,PT40M,1999-08-18T04:44:00Z,Make and share this Spanish Potato Omelet (Tortilla a la Espanola) recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/Kiww21BfQbyLiesH7KYW_fooddotcom-jan-2017-25.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/I9R6O1ISQFSmg4RsEDSc_fooddotcom-jan-2017-24.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/J8L98p8lTxl2TcdMOH2J_fooddotcom-jan-2017-22.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/SmQab1ahQV6tBXn2CVkW_fooddotcom-jan-2017-23.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/ZdpDS4AVSE2FhnRrZdvH-1004092_10203207387253375_1973910208_n.jpg"")",Breakfast,"c(""Lunch/Snacks"", ""Potato"", ""Vegetable"", ""Spanish"", ""European"", ""Low Protein"", ""Free Of..."", ""< 60 Mins"", ""Easy"")","c(""1"", ""4"", ""1"", NA, ""4"")","c(""olive oil"", ""potatoes"", ""onion"", ""coarse salt"", ""eggs"")",4.5,28.0,848.0,59.1,9.1,186.0,95.7,68.3,8.8,4.7,14.2,4.0,,"c(""Heat the oil in a 8-9 inch skillet. Add the slices of potato one at a time to avoid sticking together."", ""Alternate layers of potatoes with layers of onions."", ""Cook slowly over medium heat, turning the potatoes until tender, not brown."", ""Drain potatoes in a colander, save oil."", ""Make sure skillet is very clean for later use.  In a bowl, beat eggs with a fork until slightly foamy."", ""Salt to taste.  Add the potatoes, press down to cover potatoes completely with egg.  Return to skillet, heat 2 tablespoons of saved oil until smoking point.  Add the mixture, spread it out. Rapidly, lower the temperature to medium-high."", 
""Shake the pan often to avoid sticking."", ""When the bottom is brown, cover the skillet with a plate, turn skillet up-side down, remove tortilla, slide off plate with uncooked side down into skillet and cook the other side, Turn several times until cooked"")"
293,Scrambled Tofu on Toast,39547,Julesong,,PT15M,PT15M,1999-08-12T06:22:00Z,"Tofu is a wonderfully versatile food!  I make tofu ""egg salad"" fairly often, and it's delicious.  So scrambled tofu on toast makes perfect sense to me.  :)",character(0),Breakfast,"c(""Soy/Tofu"", ""Beans"", ""< 15 Mins"")","c(""10"", ""1"", ""1"", ""1"", ""2"", NA, ""4"")","c(""plain firm tofu"", ""butter"", ""turmeric"", ""herbs"")",4.5,2.0,352.7,21.0,6.3,15.3,353.6,28.9,5.4,4.0,17.3,2.0,,"c(""Crumble the tofu and fry it in the vegetable oil and butter until evenly cooked."", ""Add the turmeric, herbs, and salt and pepper to taste. Saute a further few minutes."", ""Serve on crispy wholemeal toast spread with butter."", ""This is the basic recipe... you can also add grated cheese, fried mushrooms, sweet or hot peppers, onions, garlic, or anything you like to this mixture to make it to your taste!  Experiment and enjoy!"")"
314,Thai Citrus Chicken Salad,148316,- Carla -,,PT1H,PT1H,1999-09-13T03:56:00Z,This is a healthy and delicious summer salad.  Great for lunch while sitting out in the garden with a a nice cold glass of white wine. :),"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/4/picl6Emxi.jpg""",Chicken,"c(""Oranges"", ""Poultry"", ""Citrus"", ""Fruit"", ""Meat"", ""Asian"", ""Brunch"", ""< 60 Mins"")","c(""1"", ""1"", ""2"", ""1/4"", ""2"", ""1"", ""1"", ""2"", ""100"", ""1"", ""1"", ""2"", NA, NA, ""1/4"")","c(""garlic clove"", ""light soy sauce"", ""oranges"", ""lime"", ""brown sugar"", ""Chinese cabbage"", ""bean sprouts"", ""red onion"", ""orange"", ""fresh cilantro"", ""fresh cilantro"")",5.0,15.0,311.2,3.7,1.0,73.1,415.4,40.9,8.6,26.9,32.7,2.0,,"c(""DRESSING:"", ""Combine the ginger, garlic, soy sauce, rice wine vinegar, orange juice, lime juice, and brown sugar together."", ""Add salt and freshly ground pepper and taste for seasoning."", ""Refrigerate 1 hour to allow flavors to infuse."", ""SALAD:"", ""Combine the Chinese Cabbage, bean sprouts, sliced red onion and orange segments. (I like to drop everything in a large zip-lock bag)."", ""Toss with half of the dressing. (Again, if you use a zip-lock bag you can easily pour in half of the dressing, seal and fumble to mix dressing in with salad; place in the refrigerator until ready to use.)."", 
""Add the sliced chicken to a frying pan and brown lightly with a small amount of olive oil."", ""Add the remainder of the citrus dressing; bring to a boil; reduce for 30 seconds to allow mixture to thicken slightly."", ""Place Chinese cabbage mixture on two dinner plates."", ""Arrange sliced chicken on top and pour over the remaining sauce."", ""Top with freshly chopped cilantro."")"
360,Baked Zucchini Frittatas,1587,rosasharn,PT22M,PT45M,PT1H7M,1999-08-09T21:35:00Z,Make and share this Baked Zucchini Frittatas recipe from Food.com.,character(0),Breakfast,"c(""Vegetable"", ""European"", ""Free Of..."", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1/4"", ""1/2"", ""1"", ""1"", ""3"", ""3"", ""1/4"", ""1/4"", ""2"", ""1/4"")","c(""zucchini"", ""onion"", ""red bell pepper"", ""garlic clove"", ""reduced-calorie margarine"", ""1% low-fat milk"", ""salt"", ""monterey jack cheese"", ""fat-free parmesan cheese"")",5.0,2.0,200.2,12.4,6.4,27.8,620.4,8.1,1.6,4.8,14.8,2.0,,"c(""Heat oven to 400°F."", ""Grease two 10-oz.  custard cups or individual baking dishes."", ""In 8-inch skillet over medium low heat, sauté zucchini, onion, red pepper and garlic in margarine until tender; let cool slightly."", ""In medium bowl, beat eggs, half-and-half and seasonings until combined."", ""Stir in zucchini mixture. Pour into prepared custard cups or baking dishes."", ""Sprinkle with cheeses."", ""Bake, uncovered, at 400°F for 14 to 17 minutes or until top is puffy and light golden brown."", ""Let stand 5 minutes before serving.""
)"
364,Zucchini Frittatas II,1587,rosasharn,PT15M,PT50M,PT1H5M,1999-10-04T01:16:00Z,Make and share this Zucchini Frittatas II recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/4/pic3kR05R.jpg""",Breakfast,"c(""Vegetable"", ""European"", ""Very Low Carbs"", ""Low Protein"", ""Low Cholesterol"", ""Weeknight"", ""< 4 Hours"")","c(""1"", ""1"", ""2"", ""2"", ""1/2"", NA, ""4"", ""2"", ""2"", ""2"")","c(""olive oil"", ""onion"", ""garlic"", ""zucchini"", ""salt"", ""pepper"", ""fresh basil"", ""flat-leaf Italian parsley"", ""fat-free parmesan cheese"")",4.0,1.0,106.0,5.1,0.8,0.0,477.9,9.1,2.3,5.2,7.2,3.0,,"c(""Heat 1/2 Tbsp. oil in a 10-inch, heavy-bottomed, oven-proof skillet. Add onion  and saute until tender and translucent. Stir in garlic and zucchini and continue sauteing until squash is just tender."", ""Season with salt and pepper and remove  from heat. In a mixing bowl, whisk together eggs, basil and parsley."", ""Stir in  sauteed vegetables."", ""Add remaining 1/2 tablespoon oil to same skillet over medium heat, tilting pan to coat bottom and sides."", ""Add egg-vegetable mixture, spreading evenly."", 
""Reduce heat to low and cover pan."", ""Cook 10 to 15 minutes, until set.  Preheat broiler."", ""Sprinkle grated cheese on top of frittata if desired and broil  briefly until lightly browned."", ""Cut into 3 wedges."", ""Serve immediately from the pan or transfer to a large round plate or platter."")"
375,Yellow Squash Frittata,97901,Zaney1,PT10M,PT5M,PT15M,1999-08-18T04:03:00Z,Make and share this Yellow Squash Frittata recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/37/5/picdEOis2.jpg""",Breakfast,"c(""Vegetable"", ""Free Of..."", ""Brunch"", ""< 15 Mins"", ""Easy"")","c(""4"", ""1"", ""6"", ""1/2"", ""1"", ""1/4"", ""1/2"")","c(""butter"", ""eggs"", ""cheddar cheese"", ""salt"", ""pepper"")",5.0,5.0,211.5,15.2,7.2,339.7,370.3,4.7,1.3,2.7,14.4,4.0,,"c(""Slice squash into equal sized rounds. You can cut a bigger squash in half instead of using the small ones, if you want to."", ""Saute squash in butter until tender-crisp."", ""Beat eggs with the grated cheese, Italian seasoning,  salt and pepper."", ""Pour egg mixture over squash."", ""Cook until eggs are cooked and puffy."")"
458,Basic Crepes II,1601,Gilcat2,PT1H,PT5M,PT1H5M,1999-09-15T06:34:00Z,Make and share this Basic Crepes II recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/8/picSkQTnf.jpg""",Breakfast,"c(""Dessert"", ""< 4 Hours"", ""Easy"")","c(""2"", ""1"", ""1 1/4"", ""2"", ""1/8"")","c(""eggs"", ""flour"", ""milk"", ""butter"", ""salt"")",5.0,1.0,100.1,4.5,2.5,52.7,74.6,11.0,0.3,0.1,3.6,10.0,,"c(""Combine all ingredients in a blender."", ""Whirl one minute; scrape down and blend 15 seconds more."", ""Refrigerate at least one hour before making crepes."", ""Heat a lightly greased 6 inch skillet; remove from heat."", ""Spoon in 2 Tbsp batter; lift and tilt skillet to spread evenly."", ""Return to heat; brown on one side only."", ""To remove, invert pan over paper toweling."", ""Repeat with remaining batter."")"
