RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
119,Carrot & Tahini Sandwich,1556,Strawberry Girl,,PT15M,PT15M,1999-08-21T10:25:00Z,"Ok, so this is not terribly weird, but most people look at me weird when I tell  them about it. It's yummy! (I  have found that this mixture is best eaten right away as the tahini tends to get sticky like natural peanut butter.)",character(0),Lunch/Snacks,"c(""Vegan"", ""< 15 Mins"", ""Easy"")","c(""1"", ""1 -2"", ""1"", NA, NA)","c(""carrot"", ""tahini sesame butter"", ""tofunaise"", ""mayonnaise"", ""raisins"")",4.0,2.0,110.5,7.3,1.0,0.0,53.2,9.8,3.1,2.9,3.2,1.0,,"c(""In small bowl, combine all ingredients."", ""Use as sandwich filling or spread."")"
135,Cherry Sandwich Maker Snack,1593,Traci Evans,,PT30M,PT30M,1999-09-02T18:31:00Z,Make and share this Cherry Sandwich Maker Snack recipe from Food.com.,character(0),Lunch/Snacks,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"", ""Easy"")","c(""2"", ""1"", NA)","""powdered sugar""",5.0,5.0,73.3,0.8,0.2,0.0,171.3,14.3,0.6,1.1,1.9,,2 triangular,"c(""Spread a thin layer between buttered bread and place in sandwich maiker."", ""Note: do not add too much filling or it will make one terrible mess in sandwich maker."", ""Let brown."", ""Remove from sandwich maker and sprinkle with powdered sugar."", ""Makes two triangular tarts."", ""My kids love them."")"
148,Bugwiches,1579,Deborah2,,PT40M,PT40M,1999-08-11T04:35:00Z,"A little bit of fun for the kids this summer. Happy Hunting! Deborah   Bugwiches:  Whatever filling you choose to put between the top and bottom of your dinner rolls, your little critters are sure to get the shivers when they sit down to eat. You'll want to slice your vegetables a variety of ways in order to make such body parts as legs and antennae, and scales and eyes.  What you'll need:",character(0),Lunch/Snacks,"c(""Tuna"", ""Very Low Carbs"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""< 60 Mins"")","c(""1"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(""carrot"", ""lettuce"", ""cucumber"", ""radish"", ""raisins"", ""mayonnaise"", ""celery"", ""tuna salad"", ""salmon salad"")",,1.0,84.0,2.0,0.5,0.3,145.9,14.1,0.8,0.7,2.4,1.0,,"c(""How to assemble: Slice roll horizontally, about 1/2 inch from bottom."", ""Pull out  bread from top half, leaving walls about 1/2 inch thick."", ""Place cucumber or  radish slices over bottom halves of rolls, sticking out slightly to make mouths  or tongues."", ""Spoon a mound of filling on top and cover with top halves of rolls."", ""Insert carrot sticks into filling for legs."", ""Make two slits on each side of top  half of bun and insert lettuce leaves as wings."", ""Decorate with vegetable pieces  for eyes, antennae, scales and other body parts."", 
""Attach using mayonnaise."")"
149,Cheese Rolls,1543,Doreen Randal,,PT45M,PT45M,1999-09-01T12:34:00Z,Make and share this Cheese Rolls recipe from Food.com.,character(0),Lunch/Snacks,"c(""Cheese"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1"", NA, NA)","c(""cheese"", ""pepper"")",5.0,1.0,66.5,0.8,0.2,0.0,127.8,12.7,0.6,1.1,1.9,1.0,,"c(""Butter thin slices of white bread, cut off crusts."", ""Spread with grated tasty cheese and sprinkle with a little pepper."", ""Roll up as for asparagus rolls."", ""Bake in oven until crisp."")"
154,Amish Cornbread,1539,opal Fitzgerald,PT32M,PT5M,PT37M,1999-09-01T05:22:00Z,Make and share this Amish Cornbread recipe from Food.com.,character(0),Sourdough Breads,"c(""Yeast Breads"", ""Quick Breads"", ""Breads"", ""Lunch/Snacks"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1"", ""2"", ""1 1/2"", ""2"", ""1/2"", ""1 1/2"", ""1/4"", ""3/4"", ""1/2"", ""1"")","c(""Amish Friendship Starter"", ""eggs"", ""milk"", ""sugar"", ""flour"", ""cornmeal"", ""baking soda"", ""salt"", ""baking powder"")",5.0,2.0,1792.5,85.0,20.6,474.2,3580.5,217.9,15.1,10.5,45.9,,1 9inch pan,"c(""Combine all above in large bowl and beat at medium speed for 2 minutes."", ""Add:  oil, baking soda, salt, and baking powder Mix well and pour in well greased 9\"" pan."", ""Bake at 425*F 25-30 minutes."")"
156,Cold Celery,1543,Doreen Randal,,PT40M,PT40M,1999-08-27T05:11:00Z,Make and share this Cold Celery recipe from Food.com.,character(0),Lunch/Snacks,"c(""Low Protein"", ""Low Cholesterol"", ""< 60 Mins"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"", ""1"")","c(""celery"", ""salt"", ""soy sauce"", ""brown sugar"")",3.0,2.0,135.1,5.3,0.8,0.0,1546.3,19.7,7.8,13.5,5.2,1.0,,"c(""Wash the celery and cut into 1 inch lengths."", ""Put into a large pan, cover with cold water and bring to the boil, drain and immediately cover with water."", ""Chill completely under cold running water."", ""Drain."", ""Add the salt, soy sauce, sugar and sesame oil."", ""Mix well and serve chilled."")"
179,Coconut Chicken Bites,1612,JANIC412,PT25M,PT40M,PT1H5M,1999-08-26T17:07:00Z,Make and share this Coconut Chicken Bites recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/9/picHQgcFk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/9/picrgoOin.jpg"")",Lunch/Snacks,"c(""Chicken Breast"", ""Chicken"", ""Poultry"", ""Coconut"", ""Fruit"", ""Nuts"", ""Meat"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""1/4"", ""1"", ""1/3"")","c(""chicken breast"", ""coconut"", ""flour"", ""salt"", ""black pepper"", ""garlic powder"", ""egg"", ""butter"")",5.0,29.0,1094.1,81.8,50.7,319.5,1046.4,34.6,7.9,3.3,57.0,2.0,,"c(""Heat oven to 400°F."", ""Mix flour, coconut, salt, pepper and garlic powder together."", ""Dip chicken bites in the egg, then in the flour mixture. Place the chicken bites onto a greased cookie sheet or baking pan."", ""Drizzle with melted butter."", ""Bake approximately 25 minutes or until the chicken is browned and cooked through."", ""Turn once during cooking."", ""This is good served with an apricot or plum dipping sauce.  Jan."")"
245,Swiss Crab Melt,25843,Crab Place,PT5M,PT5M,PT10M,1999-09-01T13:37:00Z,Make and share this Swiss Crab Melt recipe from Food.com.,character(0),Lunch/Snacks,"c(""Crab"", ""High In..."", ""< 15 Mins"", ""Easy"")","c(""2"", ""1/2"", ""4"", NA, ""1/3"", ""1"", NA, ""4"")","c(""English muffins"", ""tomatoes"", ""celery"", ""lemon juice"", ""mayonnaise"", ""swiss cheese"")",4.5,2.0,447.6,17.3,10.5,99.1,1312.7,30.5,2.8,4.2,41.3,2.0,,"c(""Split English muffins and broil until lightly browned."", ""Top each half  with a fourth of the crab meat."", ""Place a slice of tomato on each."", ""Sprinkle with salt and pepper."", ""Top with Swiss cheese."", ""Put back under the broiler briefly until cheese melts."", ""Serve while hot."")"
247,Grilled Avocado Toast,1744,agasdf,PT15M,PT15M,PT30M,1999-09-20T06:43:00Z,Make and share this Grilled Avocado Toast recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/7/pPz9Z7FDSAlhXaPL11pe_image.jpg""",Lunch/Snacks,"c(""Low Cholesterol"", ""Healthy"", ""< 30 Mins"")","c(""1/4"", ""1"", ""1"", ""3"", ""1/4"", ""1"", NA, NA)","c(""olive oil"", ""garlic clove"", ""plum tomatoes"", ""red onion"", ""avocado"", ""pepper"", ""cheddar cheese"")",5.0,1.0,3807.3,102.6,16.9,0.0,5279.2,605.9,40.8,33.6,126.5,,1 batch,"c(""Combine olive oil and garlic."", ""Cut bread diagonally into 1/2 inch slices."", ""Brush  each slice with oil."", ""Place on a cookie sheet; broil or grill until golden, approximately 5 minutes."", ""Top each slice with tomato, onion, avocado and cheese."", ""Return  to broiler for 5 to 10 minutes until avocados begin to blister and brown."")"
249,Cucumber Pita Wedges,1744,agasdf,,PT25M,PT25M,1999-09-20T06:43:00Z,Make and share this Cucumber Pita Wedges recipe from Food.com.,character(0),Lunch/Snacks,"c(""Vegetable"", ""< 30 Mins"", ""No Cook"", ""Easy"")","c(""1"", ""2"", ""4"", ""1 -2"", NA)","c(""cream cheese"", ""cucumber"", ""lemon-pepper seasoning"")",4.5,8.0,374.2,20.6,12.6,62.4,490.9,37.7,1.7,2.1,10.2,4.0,,"c(""In a mixing bowl, beat cream cheese and salad dressing mix until combined."", ""Split pita breads in half, forming two circles."", ""Spread cream cheese mixture over pita circles; cut each into six wedges."", ""Top with cucumbers."", ""Sprinkle with lemon-pepper."")"
