RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
172,Chicken Pot Pie Lasagna,1562,Libby1,PT1H35M,PT35M,PT2H10M,1999-09-20T19:45:00Z,Make and share this Chicken Pot Pie Lasagna recipe from Food.com.,character(0),Savory Pies,"c(""One Dish Meal"", ""Chicken Breast"", ""Chicken"", ""Poultry"", ""Meat"", ""European"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(NA, ""1"", ""3"", ""1"", ""1/2"", ""1"", ""1"", ""1/2"", ""1/2"", ""3 1/2"", ""1/2"", ""1/4"", ""1"", ""1 1/2"", ""1/2"")","c(""boneless chicken breast"", ""fresh mushrooms"", ""carrot"", ""spring onion"", ""frozen green pea"", ""thyme"", ""salt"", ""all-purpose flour"", ""skim milk"", ""dry sherry"", ""low-fat ricotta cheese"", ""part-skim mozzarella cheese"", ""lowfat swiss cheese"")",5.0,8.0,334.8,13.8,7.2,68.1,517.3,19.2,2.1,3.2,30.8,10.0,,"c(""Prepare pasta according to package directions."", ""Spray a Dutch oven or large   skillet with cooking spray; place over medium-high heat until hot. Add  chicken  and saute 4 minutes or until cooked through."", ""Drain well and set  aside.   Recoat Dutch oven with cooking spray and place over medium-high heat until   hot. Add  mushrooms, carrots and onions; saute 6 minutes."", ""Set aside.  Place flour in a  medium saucepan."", ""Gradually add milk, stirring with a wire   whisk until blended; stir in sherry."", 
""Bring to a boil over medium heat and  cook for 5 minutes or  until thickened, stirring constantly."", ""Stir in salt  and  red pepper."", ""Reserve one cup of sauce and set aside.  In a bowl, combine ricotta cheese, 1 cup mozzarella cheese and Swiss  cheese.  Preheat oven to 350 degrees."", ""Spread 1 cup of the  sauce over the bottom of  a  13 x9 x 2-inch pan."", ""Arrange 4 pieces of the lasagne (3 lengthwise, 1  widthwise)over the sauce. Top with half of ricotta cheese  mixture, half of   chicken mixture and half of remaining sauce mixture.   Repeat layers, ending with 4 pieces of lasagne. Spread reserved 1 cup of  sauce over  the last complete layer of lasagne, being sure to cover the  lasagne completely."", 
""Cover lasagne with foil and bake 1 hour."", ""Uncover  lasagne,  sprinkle remaining  1/2 cup mozzarella cheese on top and bake an additional  5  minutes uncovered."", ""Re-cover and let stand 15 minutes before serving."")"
1119,Spaghetti Pie,1530,Carole Reu,PT20M,PT5M,PT25M,1999-08-18T04:58:00Z,Make and share this Spaghetti Pie recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/19/pic0x6SpS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/19/picDSGoCF.jpg"")",One Dish Meal,"c(""Spaghetti"", ""European"", ""< 30 Mins"", ""Oven"")","c(""4"", ""1"", ""1/4"", ""8"", ""1/2"", ""1/2"", ""1/2"", ""1"", ""8"", ""1"", ""1"", ""1/2"")","c(""spaghetti"", ""egg"", ""nonfat parmesan cheese"", ""extra lean beef"", ""onion"", ""green pepper"", ""fennel seed"", ""garlic"", ""tomato sauce"", ""oregano"", ""low fat cottage cheese"", ""lowfat mozzarella cheese"")",5.0,23.0,192.8,4.3,1.7,60.6,390.0,20.6,1.7,3.0,17.4,6.0,,"c(""Cook spaghetti for 10 to 12 minutes or until tender but still firm."", ""Drain well."", ""Return spaghetti to saucepan."", ""Stir in egg and Parmesan cheese.  In a medium  skillet, cook ground beef, onion, green pepper, garlic and fennel till meat is  browned and onion is tender."", ""Drain fat.  Stir in tomato sauce and oregano; heat through."", ""Spray a 9\"" pie plate with nonstick cooking spray."", ""Press spaghetti  mixture onto bottom and up sides of pie plate, forming a crust.  Spread cottage  cheese on bottom and up sides of crust.  Spread meat mixture over cottage  cheese.  Sprinkle with mozzarella cheese.    Bake 350 for 20 to 25 minutes or  till bubbly.""
)"
2729,Hono Bread - Honokakor,1549,Dave5003,,PT0S,PT0S,1999-09-01T12:13:00Z,There are many variations of this bread which is often baked on the islands off the West Coast of Sweden.,character(0),Yeast Breads,"c(""Breads"", ""Swedish"", ""Scandinavian"", ""European"", ""Healthy"", ""< 15 Mins"", ""For Large Groups"", ""Oven"")","c(""2"", ""1/2"", ""1"", ""1/4"", ""3"", ""3"", ""3"", ""2"", ""8"")","c(""active compressed yeast"", ""butter"", ""margarine"", ""milk"", ""light corn syrup"", ""salt"", ""anise seed"", ""fennel"", ""all-purpose flour"")",,,127.4,3.0,1.7,7.9,174.2,21.7,1.2,0.6,3.4,,8-10 bread rounds,"c(""Crumble the yeast in a mixing bowl."", ""In saucepan, melt the butter and then add the milk."", ""Heat to 99M-0F/37M-0C or lukewarm."", ""Dissolve the yeast in a little of the warm milk."", ""Add the rest of the liquid, syrup, salt, aniseed, fennel, and rye flour to the yeast. Stir together and add the all-purpose flour."", ""Work the dough until smooth and shiny."", ""Cover and let rise for 20 - 30 minutes."", ""Turn the dough out onto a floured surface and knead well."", ""Divide into 8 - 10 sections and roll each section into a smooth ball."", 
""Cover and let rise under a baking cloth in a warm room for 25 - 30 minutes."", ""Then, with a rolling pin, roll out large rounds of bread, about 10\"" (27 cm) in diameter."", ""Place bread on greased baking sheet and allow to rise for 5 minutes."", ""Prick surface with a fork."", ""Bake in the center of the oven for about 5 minutes."", ""Cover and let cool."")"
3116,Chicken Biryani,148316,- Carla -,PT1H15M,PT15M,PT1H30M,1999-10-05T00:16:00Z,"Biryani is a combination of rice with meat, chicken, shrimp, vegetables or fish. It is a meal within itself. Don't be put off by the long list of ingredients, it is really an easy dish to prepare and tasty too.",character(0),One Dish Meal,"c(""Chicken"", ""Poultry"", ""Rice"", ""Meat"", ""Asian"", ""Indian"", ""< 4 Hours"")","c(""1 1/2"", ""1/2"", ""5"", ""2 -3"", ""1"", ""3"", ""3"", ""4"", ""1/4"", ""5"", ""1/4"", ""1"", ""1"", ""1/2"", ""3"", ""1"", ""1"", ""4"", ""2"", ""2/3"", ""1/2"", ""2/3"", ""3"", NA, NA)","c(""basmati rice"", ""salt"", ""whole cardamom pods"", ""whole cloves"", ""cinnamon stick"", ""onions"", ""chicken breasts"", ""ground cloves"", ""cardamom pods"", ""chile"", ""ground cumin"", ""ground coriander"", ""fresh ground black pepper"", ""garlic cloves"", ""fresh ginger"", ""tomatoes"", ""fresh cilantro"", ""plain yogurt"", ""saffron thread"", ""water"", ""fresh cilantro stem"", ""plain yogurt"")",4.0,2.0,763.3,32.6,7.5,114.2,437.1,72.2,6.8,9.8,45.9,4.0,,"c(""Preheat the oven to 375°F."", ""Bring a pan of water to a boil and add the rice, salt, cardamom pods, cloves and cinnamon stick; boil for two minutes and then drain, leaving the whole spices in the rice."", ""Heat the oil in a pan and fry the onions for about 8 minutes, until browned."", ""Add the chicken, followed by the ground cloves, cardamom, chilies, cumin, coriander, black pepper, garlic, ginger and lemon juice; stir-fry 5 minutes."", ""Transfer the chicken mixture to a casserole and lay the sliced tomatoes on top."", 
""Sprinkle on the cilantro, spoon on the plain yogurt and top with drained basmati rice."", ""Drizzle the saffron and milk over the rice and pour on 2/3 cup water."", ""Cover tightly and bake in the oven for 1 hour."", ""Transfer to a warmed serving platter and remove the whole spices from the rice."", ""Garnish with toasted almonds and freshly chopped cilantro and serve with plain yogurt."")"
3858,Shepherd's Pie With Eggplant (Aubergine),1549,Dave5003,PT40M,PT30M,PT1H10M,1999-11-02T05:06:00Z,Make and share this Shepherd's Pie With Eggplant (Aubergine) recipe from Food.com.,character(0),One Dish Meal,"c(""Vegetable"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""1"", NA, ""1/2"", ""1/2"", ""1/2"", ""1 1/2"", NA, ""1"", ""1"", NA, ""1"", ""12"", ""1"", ""1"", ""1/4"", ""1/2"", ""1/2"", ""1"", ""1/2"", ""3"", ""1"")","c(""potatoes"", ""butter"", ""yogurt"", ""chives"", ""parsley"", ""butter"", ""onion"", ""garlic clove"", ""salt"", ""black pepper"", ""celery"", ""mushrooms"", ""eggplant"", ""green bell pepper"", ""thyme"", ""basil"", ""oregano"", ""peas"", ""cheddar cheese"", ""wheat germ"", ""cider vinegar"")",5.0,5.0,262.8,9.6,5.6,25.3,511.6,36.6,8.5,7.0,10.9,6.0,,"c(""Preheat oven to 350°F."", ""Cook the potatoes (in their skins) in boiling water, until soft.  Drain, and mash the first 5 ingredients. Set aside."", ""In a large, heavy skillet, saute the onions and garlic in 1 1/2 Tbsp of butter, with salt and pepper, until the onions are soft (5-8 minutes). Add the celery, mushrooms, and eggplant.  Cook over low heat, stirring occasionally."", ""When the eggplant is cooked through (and this will happen more quickly if you cover the skillet between stirrings), add green pepper, herbs, and peas.  Continue cooking about 5 minutes longer."", 
""Remove from heat; toss with cheese, wheat germ, and vinegar.  Spread this mixture into your buttered deep-dish casserole.  Spread the mashed potatoes on top, as a crust."", ""OPTIONAL (and OPTIMAL):  Sprinkle extra cheese plus some paprika on top."", ""Bake, uncovered, 35 minutes."")"
3893,Vegetarian Shepherd's Pie,1886,HELEN PEAGRAM,,PT0S,PT0S,1999-11-10T01:13:00Z,Make and share this Vegetarian Shepherd's Pie recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/93/picRKEgr6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/93/picjhEuIP.jpg"")",One Dish Meal,"c(""< 15 Mins"", ""Oven"")","c(""1"", ""4"", ""2"", NA, ""1"", ""1"", ""8"", ""1"", ""2"", ""1"", ""1/2"", ""1"", ""1/2"", ""275"", NA, ""1"")","c(""parsley"", ""adzuki beans"", ""brown rice"", ""water"", ""onion"", ""carrots"", ""soy sauce"", ""tomato paste"", ""garlic powder"", ""oregano"", ""basil"", ""marjoram"", ""potato"")",4.0,7.0,309.8,4.3,0.7,0.0,364.9,59.0,9.2,5.9,10.9,4.0,,"c(""Wash the beans and rice in plenty of cold water. Combine about 4 cups  of water with beans and rice and cook for 5o minutes or until the beans  are soft. Drain, reserving the stock for later."", ""Heat oil in a skillet. Fry the onions for 3 minutes."", ""Add the  carrots and cook covered for 5 minutes."", ""Add the cooked beans and rice.  Stir well and let saute for a few minutes, ensuring   that the mixture  does not burn."", ""Combine the soy sauce, tomato paste, herbs and stock."", ""Mix well and pour into the skillet. Bring to a boil, reduce heat to  very low, partially cover and simmer gently for 30 minutes, stirring  frequently to prevent it burning. Add more stock if necessary."", 
""Transfer into a casserole.  Top the cooked vegetables with mashed potatoes."", ""Bake in a preheated  oven at 350F for 40 minutes, or until the potatoes are browned."", ""Serve with vegetables or a green salad."")"
4110,Lasagna Pierogi,1534,Tonkcats,,PT0S,PT0S,1999-11-10T01:13:00Z,Make and share this Lasagna Pierogi recipe from Food.com.,character(0),One Dish Meal,"c(""European"", ""< 15 Mins"", ""Oven"")","c(""7"", ""2"", ""6 -8"", ""1"", ""1"", ""1"")","c(""potatoes"", ""onions"", ""butter"", ""margarine"", ""cheese"", ""evaporated milk"")",4.5,5.0,620.9,39.9,25.0,109.8,529.1,55.4,6.3,4.1,13.5,,,"c(""Cook lasagna and drain."", ""Chop onions and cook in butter or margarine only until  clear, but not brown. Saute on low heat."", ""Cook and mash potatoes; add cheese to  potatoes."", ""Spread 2 pieces of lasagna on bottom of 9 x 13-inch pan."", ""Spread  potatoes with cheese over top of lasagna, then spread butter and onions over  potatoes and start over with layer of lasagna, etc. End with layer of lasagna."", ""Then pour can of Pet milk over top and bake in oven at 350 degrees until milk  bubbles."", ""Cut in squares and serve with sour cream."", 
""Sprinkle paprika on top of  potatoes (optional)"")"
4599,Swedish Spritz Cookies,1534,Tonkcats,PT8M,PT0S,PT8M,1999-12-01T20:03:00Z,Make and share this Swedish Spritz Cookies recipe from Food.com.,character(0),Dessert,"c(""Cookie & Brownie"", ""Swedish"", ""Scandinavian"", ""European"", ""< 15 Mins"", ""Oven"")","c(""1"", ""1/2"", ""1"", ""1"", ""1/2"", ""2 1/2"")","c(""butter"", ""sugar"", ""egg"", ""vanilla extract"", ""all-purpose flour"")",5.0,1.0,38.6,2.3,1.4,8.3,16.5,4.0,0.1,1.2,0.5,,84 cookies,"c(""Preheat oven to 350°."", ""In large bowl, cream butter and sugar until light and fluffy."", ""Beat in egg and extracts."", ""Gradually blend in flour."", ""Fill cookie press with dough."", ""Using star attachments, form \""S\"" shapes on ungreased cookie sheets."", ""Bake cookies 8-10 minutes."")"
4643,Tjock Pan Kaka (Swedish Thick Pancake),1534,Tonkcats,PT30M,PT10M,PT40M,1999-12-01T20:03:00Z,Make and share this Tjock Pan Kaka (Swedish Thick Pancake) recipe from Food.com.,character(0),Breakfast,"c(""Swedish"", ""Scandinavian"", ""European"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1/4"", ""1"", ""1 1/2"", ""4"", ""1 1/2"")","c(""butter"", ""salt"", ""milk"", ""eggs"", ""flour"")",4.5,5.0,268.3,13.4,7.3,152.9,171.2,26.9,0.8,0.2,9.5,6.0,,"c(""Melt butter in 9 x 13-inch pan."", ""Stir together the eggs,  salt and flour."", ""Add milk, but do not beat. Pour into pan with  the melted butter."", ""Bake at 400 degrees until browned, about 30  minutes."", ""Will puff up like popovers."", ""Cut into serving slices  and serve immediately with strawberries,  lingonberries or  syrup."")"
4902,Corn Side Dish,1642,M Messer,PT15M,PT10M,PT25M,1999-11-24T07:18:00Z,"This is not only fairly easy, but if you have all of stuff ready can be thrown together in the microwave and it's done in 12-15 minutes.  I got it when I bought my Panasonic microwave way back in the 70's.  It is very good &amp; very different.",character(0),One Dish Meal,"c(""Corn"", ""Vegetable"", ""Canadian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Microwave"", ""Roast"", ""Broil/Grill"", ""< 30 Mins"", ""Oven"", ""No Cook"", ""Small Appliance"", ""Easy"")","c(""1/3"", ""1/3"", ""2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1/2"", ""1"", ""1"")","c(""celery"", ""green pepper"", ""olive oil"", ""frozen corn"", ""tomato sauce"", ""mushroom stems and pieces"", ""tomatoes"", ""brown sugar"", ""onion powder"", ""garlic powder"", ""salt"", ""black pepper"", ""cayenne pepper"")",5.0,3.0,147.5,3.1,0.5,0.0,725.6,30.2,4.1,11.3,4.0,4.0,,"c(""In 2-1/2 to 3 qt casserole dish, toss celery and green pepper in oil."", ""Microwave on high for 2 minutes."", ""Add all rest of ingredients."", ""Mix thoroughly, cover and cook on medium high until done for 9-10 minutes (I think)."", ""That's a guess, you'll have to check to make sure everything is done and hot."", ""This is also good cold."", ""I use it when we have block parties or large picnics."")"
